socks5://121.169.46.116:1090,KR,Osan
http://43.166.4.171:443,KR,Unknown
http://43.133.231.149:443,KR,Unknown
http://152.69.230.221:443,KR,Unknown
http://123.108.164.102:443,KR,Unknown
http://158.247.204.254:8443,KR,Unknown
http://141.164.39.178:443,KR,Unknown
http://210.105.16.87:8888,KR,Unknown
http://132.226.170.86:443,KR,Unknown
http://211.217.231.234:8080,KR,Unknown
http://121.170.165.32:10127,KR,Unknown
http://183.111.192.207:11338,KR,Unknown
http://121.170.165.68:25180,KR,Unknown
http://210.121.160.131:27336,KR,Unknown
http://121.170.165.243:28754,KR,Unknown
http://210.121.160.157:25341,KR,Unknown
http://183.111.179.185:26123,KR,Unknown
http://210.121.160.114:17056,KR,Unknown
http://210.121.160.170:23904,KR,Unknown
http://210.121.160.230:15289,KR,Unknown
http://210.121.160.96:24659,KR,Unknown
http://203.245.16.113:27875,KR,Unknown
http://210.121.160.15:24967,KR,Unknown
http://210.121.160.207:28276,KR,Unknown
http://210.121.160.187:20033,KR,Unknown
http://210.121.160.239:10943,KR,Unknown
http://121.170.165.29:10676,KR,Unknown
http://210.121.160.43:12410,KR,Unknown
http://210.121.160.79:28510,KR,Unknown
http://121.170.165.97:19797,KR,Unknown
http://210.121.160.105:25802,KR,Unknown
http://121.170.165.58:22025,KR,Unknown
http://121.170.165.3:24439,KR,Unknown
http://210.121.160.217:29454,KR,Unknown
http://121.170.165.27:21833,KR,Unknown
http://121.170.165.76:24818,KR,Unknown
http://210.121.160.86:12842,KR,Unknown
http://210.121.160.226:26431,KR,Unknown
http://210.121.160.83:14884,KR,Unknown
http://210.121.160.42:18181,KR,Unknown
http://121.170.165.85:13109,KR,Unknown
http://210.121.160.247:10264,KR,Unknown
http://210.121.160.108:18986,KR,Unknown
http://210.121.160.202:24100,KR,Unknown
http://210.121.160.229:12432,KR,Unknown
http://211.63.212.230:15611,KR,Unknown
http://210.121.160.8:11358,KR,Unknown
http://210.121.160.91:11590,KR,Unknown
http://211.230.49.122:3128,KR,Seo-gu
http://183.110.216.128:8090,KR,
http://221.153.152.43:80,KR,Suwon
http://183.109.79.187:80,KR,Yeongdeungpo-gu
